ef_id,category_code,category_name_th,category_name_en,ef_name,ef_description,unit,factor_value,source_name,source_detail,updated_tag,raw_text
11,1,กลุ่มปิโตรเคมี,,Styrene Acrylonitrile (SAN),ผลิตจากกระบวนการอัลคิเลชันของเบนซีนและเอทิลีน; LCIA method IPCC 2013 GWP 100a V1.03,kg,3.0008,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"11. | Styrene Acrylonitrile (SAN) | ผลิตจากกระบวนการอัลคิเลชันของเบนซีนและเอทิลีน ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 3.0008 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
12,1,กลุ่มปิโตรเคมี,,Vinyl Chlodie Monomer (VCM),ผลิตจากกระบวนการ Suspension และ Emulsion; LCIA method IPCC 2013 GWP 100a V1.03,kg,2.1793,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"12. | Vinyl Chlodie Monomer (VCM) | ผลิตจากกระบวนการ Suspension และ Emulsion; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 2.1793 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
13,1,กลุ่มปิโตรเคมี,,Benzene,ผลิตจากกระบวนการ Toluene Hydrodealkylation; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.3268,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"13. | Benzene | ผลิตจากกระบวนการ Toluene Hydrodealkylation; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.3268 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
14,1,กลุ่มปิโตรเคมี,,Caprolactam (CPL),"ผลิตจาก Cyclohexane, Ammonia และ Sulfur; LCIA method IPCC 2013 GWP 100a V1.03",kg,1.2916,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"14. | Caprolactam (CPL) | ผลิตจาก Cyclohexane, Ammonia และ Sulfur; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.2916 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
15,1,กลุ่มปิโตรเคมี,,Cyclohexane (CX),ผลิตจาก Benzene และ Hydrogen; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.4132,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"15. | Cyclohexane (CX) | ผลิตจาก Benzene และ Hydrogen; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.4132 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
16,1,กลุ่มปิโตรเคมี,,Ethylene,ผลิตจากกระบวนการ Natural Gas/ Gas Oil Cracking; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.9562,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_July2022,"16. | Ethylene | ผลิตจากกระบวนการ Natural Gas/ Gas Oil Cracking; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.9562 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_July2022"
17,1,กลุ่มปิโตรเคมี,,Mixed C4,ผลิตจากกระบวนการ Natural Gas/ Gas Oil Cracking; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.1114,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"17. | Mixed C4 | ผลิตจากกระบวนการ Natural Gas/ Gas Oil Cracking; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.1114 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
18,1,กลุ่มปิโตรเคมี,,Toluene,ผลิตจาก Reformate; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.9551,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"18. | Toluene | ผลิตจาก Reformate; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.9551 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
19,1,กลุ่มปิโตรเคมี,,Propylene,ผลิตจากกระบวนการ Natural Gas/ Gas Oil Cracking; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.4473,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_July2022,"19. | Propylene | ผลิตจากกระบวนการ Natural Gas/ Gas Oil Cracking; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.4473 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_July2022"
20,2,กลุ่มผลิตภัณฑ์จากก๊าซธรรมชาติ,,Carbon dioxide (กา๊ซคาร์บอนไดออกไซด์์์์์),กา๊ซคาร์บอนไดออกไซด์์์์์ที่ได้จากการกระบวนการแยกกา๊ซธรรมชาติิิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.0506,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"20. | Carbon dioxide (ก๊าซคาร์บอนไดออกไซด์์)| ก๊าซคาร์บอนไดออกไซด์์ที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.0506 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
21,2,กลุ่มผลิตภัณฑ์จากก๊าซธรรมชาติ,,Propane (โพรเพน),โพรเพนที่ได้จากการกระบวนการแยกกา๊ซธรรมชาติิิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.1692,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"21. | Propane (โพรเพน) | โพรเพนที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.1692 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
22,2,กลุ่มผลิตภัณฑ์จากก๊าซธรรมชาติ,,Methane (กา๊ซธรรมชาติิิ/ มีเทน),กา๊ซธรรมชาติิิ(มีเทน) ที่ได้จากการกระบวนการแยกกา๊ซธรรมชาติิิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.1283,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"22. | Methane (ก๊าซธรรมชาติ/ มีเทน) | ก๊าซธรรมชาติ(มีเทน) ที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.1283 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
23,2,กลุ่มผลิตภัณฑ์จากก๊าซธรรมชาติ,,Ethane (อีเทน),อีเทนที่ได้จากการกระบวนการแยกกา๊ซธรรมชาติิิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.1608,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"23. | Ethane (อีเทน) | อีเทนที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.1608 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
24,2,กลุ่มผลิตภัณฑ์จากก๊าซธรรมชาติ,,Natural Gas Liquid (กา๊ซธรรมชาติิิเหลว),กา๊ซธรรมชาติิิเหลวที่ได้จากการกระบวนการแยกกา๊ซธรรมชาติิิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.156,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"24. | Natural Gas Liquid (ก๊าซธรรมชาติเหลว) | ก๊าซธรรมชาติเหลวที่ได้จากการกระบวนการแยกก๊าซธรรมชาติ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.156 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
25,2,กลุ่มผลิตภัณฑ์จากก๊าซธรรมชาติ,,กา๊ซหุงต้ม,กา๊ซหุงต้มที่ได้จากกระบวนการแยกกา๊ซธรรมชาติิิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,1.1839,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"25. | ก๊าซหุงต้ม| ก๊าซหุงต้มที่ได้จากกระบวนการแยกก๊าซธรรมชาติ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 1.1839 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
26,2,กลุ่มผลิตภัณฑ์จากก๊าซธรรมชาติ,,กา๊ซธรรมชาติิิแบบผสม,กา๊ซธรรมชาติิิผสมที่มาจากกา๊ซธรรมชาติิิของประเทศไทย (รวมกา๊ซธรรมชาติิทิมี่าจากโรงแยกกา๊ซ) กา๊ซธรรมชาติิทินี่าเขา้มาจากประเทศพพมา่และ LNG จากการนำเขา้; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.7544,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"26. | ก๊าซธรรมชาติแบบผสม | ก๊าซธรรมชาติผสมที่มาจากก๊าซธรรมชาติของประเทศไทย (รวมก๊าซธรรมชาตทิมี่าจากโรงแยกก๊าซ) ก๊าซธรรมชาตทินี่าเขา้มาจากประเทศพพม่าและ LNG จากการนำเข้า; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.7544 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
27,2,กลุ่มผลิตภัณฑ์จากก๊าซธรรมชาติ,,กา๊ซธรรมชาติิิแบบผสม,กา๊ซธรรมชาติิิผสมที่มาจากกา๊ซธรรมชาติิิของประเทศไทย (รวมกา๊ซธรรมชาติิทิมี่าจากโรงแยกกา๊ซ) กา๊ซธรรมชาติิทินี่าเขา้มาจากประเทศพพมา่และ LNG จากการนำเขา้; LCIA method IPCC 2013 GWP 100a V1.03,m3,0.5767,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"27. | ก๊าซธรรมชาติแบบผสม | ก๊าซธรรมชาติผสมที่มาจากก๊าซธรรมชาติของประเทศไทย (รวมก๊าซธรรมชาตทิมี่าจากโรงแยกก๊าซ) ก๊าซธรรมชาตทินี่าเขา้มาจากประเทศพพม่าและ LNG จากการนำเข้า; LCIA method IPCC 2013 GWP 100a V1.03 | m3 | 0.5767 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
28,3,กลุ่มพลังงาน: เชื้อเพลิงเหลวและเชื้อเพลิงแข็ง,,"Liquefied Petroleum Gas, LPG Mixed (กา๊ซหุงต้มแบบผสม)",กา๊ซหุงต้มแบบผสมระหวา่งกา๊ซหุงตม้ที่ได้จากกระบวนการกลั่นนำ้มันดบิและกา๊ซหุงต้มที่ได้จากกระบวนการแยกกา๊ซธรรมชาติิิรวมถงึการนำเขา้butane และ Propane มาเพอื่ผลิตเป็น LPG อกีดว้ย; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.8582,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"28. | Liquefied Petroleum Gas, LPG Mixed (ก๊าซหุงต้มแบบผสม) | ก๊าซหุงต้มแบบผสมระหวา่งก๊าซหุงตม้ที่ได้จากกระบวนการกลั่นน้ำมันดบิและก๊าซหุงต้มที่ได้จากกระบวนการแยกก๊าซธรรมชาติรวมถงึการนาเขา้butane และ Propane มาเพอื่ผลิตเป็น LPG อกีดว้ย; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.8582 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
29,3,กลุ่มพลังงาน: เชื้อเพลิงเหลวและเชื้อเพลิงแข็ง,,Naphtha (แนฟทา),แนฟทาที่ได้จากกระบวนการกลั่นนำ้มันดบิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.2972,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"29. | Naphtha (แนฟทา) | แนฟทาที่ได้จากกระบวนการกลั่นน้ำมันดบิ ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.2972 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
30,3,กลุ่มพลังงาน: เชื้อเพลิงเหลวและเชื้อเพลิงแข็ง,,กา๊ซหุงต้ม,กา๊ซหุงต้มที่ได้จากกระบวนการกลั่นนำ้มันดบิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.4267,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"30. | ก๊าซหุงต้ม| ก๊าซหุงต้มที่ได้จากกระบวนการกลั่นน้ำมันดบิ ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.4267 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
31,3,กลุ่มพลังงาน: เชื้อเพลิงเหลวและเชื้อเพลิงแข็ง,,Gasoline (แกส๊โซลนี ),แกส๊โซลนี (นำ้มันเบนซนิ ) ที่ได้จากกระบวนการกลั่นนำ้มันดบิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.4024,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"31. | Gasoline (แกส๊โซลนี ) | แกส๊โซลนี (น้ำมันเบนซนิ ) ที่ได้จากกระบวนการกลั่นน้ำมันดบิ ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.4024 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
32,3,กลุ่มพลังงาน: เชื้อเพลิงเหลวและเชื้อเพลิงแข็ง,,Kerosene / Jet oil (นำ้มันกา๊ดหรอืนำ้มันเครื่องบนิ ),นำ้มันกา๊ดหรอืนำ้มันเครื่องบนิที่ได้จากกระบวนการกลั่นนำ้มันดบิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.3284,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"32. | Kerosene / Jet oil (น้ำมันกา๊ดหรอืน้ำมันเครอื่งบนิ ) | น้ำมันกา๊ดหรอืน้ำมันเครอื่งบนิที่ได้จากกระบวนการกลั่นน้ำมันดบิ ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.3284 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
33,3,กลุ่มพลังงาน: เชื้อเพลิงเหลวและเชื้อเพลิงแข็ง,,Fuel oil (นำ้มันเตา),นำ้มันเตาที่ได้จากกระบวนการกลั่นนำ้มันดบิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.3743,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"33. | Fuel oil (น้ำมันเตา) | น้ำมันเตาที่ได้จากกระบวนการกลั่นน้ำมันดบิ ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.3743 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
34,3,กลุ่มพลังงาน: เชื้อเพลิงเหลวและเชื้อเพลิงแข็ง,,Diesel (นำ้มันดีเซล / นำ้มันโซลา่ร)์,นำ้มันดีเซลที่ได้จากกระบวนการกลั่นนำ้มันดบิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.3522,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"34. | Diesel (น้ำมันดีเซล / น้ำมันโซลา่ร)์| น้ำมันดีเซลที่ได้จากกระบวนการกลั่นน้ำมันดบิ ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.3522 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
35,3,กลุ่มพลังงาน: เชื้อเพลิงเหลวและเชื้อเพลิงแข็ง,,ซลัเฟอร์,ซลัเฟอรท์ไี่ดจากกระบวนการกลั่นนำ้มันดบิ; LCIA method IPCC 2013 GWP 100a V1.03,kg,0.239,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"35. | ซลัเฟอร์| ซลัเฟอรท์ไี่ดจากกระบวนการกลั่นน้ำมันดบิ ; LCIA method IPCC 2013 GWP 100a V1.03 | kg | 0.239 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
36,4,กลุ่มไฟฟ้า,,"Electricity, grid mix (ไฟฟา้)",ไฟฟา้แบบ grid mix ปี 2016-2018; LCIA method IPCC 2013 GWP 100a V1.03,kWh,0.5986,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"36. | Electricity, grid mix (ไฟฟา้) | ไฟฟา้แบบ grid mix ปี 2016-2018; LCIA method IPCC 2013 GWP 100a V1.03 | kWh | 0.5986 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
37,5,กลุ่มน้ำประปาและน้ำอุตสาหกรรม (Tap water),,นำ้ประปา-การประปานครหลวง,ผลิตโดยใชน้้าผวิดนิ; LCIA method IPCC 2013 GWP 100a V1.03,m3,0.7948,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"37. | น้ำประปา-การประปานครหลวง | ผลิตโดยใชน้้าผวิดนิ ; LCIA method IPCC 2013 GWP 100a V1.03 | m3 | 0.7948 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
38,5,กลุ่มน้ำประปาและน้ำอุตสาหกรรม (Tap water),,นำ้ประปา-การประปาสว่นภมูภิาค,ผลิตโดยใชน้้าผวิดนินำ้ใตด้นิและนำ้ทะเล; ครอบคลมุตงั้แตข่นั้ตอนการสบูนำ้ดบิการผลิตนำ้ประปาจนถงึการส่งนำ้ประปาผา่นระบบทอ่กปภ. สผู่ใู้ชน้้า; ข้อมลูการผลิตปีงบประมาณ 2561; LCIA method IPCC 2013 GWP 100a V1.03,m3,0.541,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_July2022,"38. | น้ำประปา-การประปาสว่นภมูภิาค | ผลิตโดยใชน้้าผวิดนิน้ำใตด้นิและน้ำทะเล; ครอบคลมุตงั้แตข่นั้ตอนการสบูน้ำดบิการผลิตน้ำประปาจนถงึการส่งน้ำประปาผา่นระบบทอ่กปภ. สผู่ใู้ชน้้า; ข้อมลูการผลิตปีงบประมาณ 2561; LCIA method IPCC 2013 GWP 100a V1.03 | m3 | 0.541 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_July2022"
39,5,กลุ่มน้ำประปาและน้ำอุตสาหกรรม (Tap water),,นำ้ประปา-การนคิมอุตสาหกรรม,ผลิตโดยใชน้้าผวิดนิและนำ้ประปา; LCIA method IPCC 2013 GWP 100a V1.03,m3,0.2575,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_Dec2019,"39. | น้ำประปา-การนคิมอุตสาหกรรม | ผลิตโดยใชน้้าผวิดนิและน้ำประปา; LCIA method IPCC 2013 GWP 100a V1.03 | m3 | 0.2575 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_Dec2019"
40,5,กลุ่มน้ำประปาและน้ำอุตสาหกรรม (Tap water),,นำ้ออ่นสาหรับหมอ้ไอนำ้,ผลิตโดยใชน้้าประปา; LCIA method IPCC 2013 GWP 100a V1.03,m3,1.0301,Thai National LCI Database,"Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018)",Update_July2022,"40. | น้ำออ่นสาหรับหมอ้ไอน้ำ | ผลิตโดยใชน้้าประปา; LCIA method IPCC 2013 GWP 100a V1.03 | m3 | 1.0301 | Thai National LCI Database, TIIS-MTEC-NSTDA (with TGO electricity 2016-2018) | Update_July2022"
