Transaction_ID,Date,Customer_ID,Product_Category,Sales_Amount,Region
TXN-00044,2024-05-17,C-0267,Beauty,3490.0,Phuket 
TXN-00045,2024-07-11,C-0233,Fashion,27357.0,Phuket
TXN-00046,2024-11-20,C-0496,Beauty,11414.0,Bangkok
TXN-00047,2024-02-17,C-0381,Fashion,41478.0,Chiang Mai
TXN-00048,2024-05-22,C-0995,Electronics,40693.0,Phuket
TXN-00049,2024-07-07,C-0296,Sports,8968.0,Phuket 
TXN-00050,2024-09-06,C-0789,Beauty,1805.0,Chonburi
TXN-00051,2024-01-02,C-0866,Sports,1883.0,Bangkok
TXN-00052,2024-02-17,C-0049,Home & Living,6414.0,Bangkok
TXN-00053,2024-08-22,C-0152,Electronics,22342.0,Phuket 
TXN-00054,2024-12-23,C-0362,Sports,36734.0,Khon Kaen
TXN-00055,2024-02-02,C-0292,Fashion,3725.0,Phuket 
TXN-00056,2024-07-22,C-0467,Beauty,24230.0,BKK
TXN-00057,2024-08-07,C-0980,Sports,10788.0,Bangkok
TXN-00058,2024-09-10,C-0171,Sports,26421.0,Chiangmai
TXN-00059,2024-05-25,C-0634,Home & Living,15529.0,Krungthep
TXN-00060,2024-10-22,C-0947,Beauty,11077.0,BKK
TXN-00061,2024-09-05,C-0165,Home & Living,22225.0,Chon Buri
TXN-00062,2024-12-15,C-0729,Sports,36738.0,Chiangmai
TXN-00063,2024/01/24,C-0549,Fashion,1393.0,BKK
TXN-00064,23-Aug-24,C-0293,Sports,1812.0,Chon Buri
TXN-00065,2024-03-21,C-0187,Electronics,35008.0,BKK
TXN-00066,2024-01-01,C-0997,Home & Living,26579.0,Chonburi
TXN-00067,2024-08-07,C-0180,Fashion,3271.0,BKK
TXN-00068,2024-12-18,C-0860,Sports,20256.0,Bangkok
TXN-00069,2024-11-28,C-0726,Fashion,41889.0,Phuket 
TXN-00070,2024/05/20,C-0710,Home & Living,16707.0,Chon Buri
TXN-00071,2024-07-03,C-0927,Sports,49646.0,Chiang Mai
TXN-00072,2024-07-09,C-0683,Electronics,25263.0,Chiangmai
TXN-00073,2024-11-28,C-0814,Home & Living,9097.0,Chiangmai
TXN-00074,2024-07-21,C-0158,Home & Living,18194.0,Krungthep
TXN-00075,2024-12-24,C-0166,Electronics,5515.0,Phuket 
TXN-00076,2024-08-07,C-0244,Sports,47824.0,Bangkok
TXN-00077,2024/12/26,C-0120,Beauty,48514.0,Phuket 
TXN-00078,2024-04-19,C-0043,Fashion,1466.0,Chon Buri
TXN-00079,2024-03-08,C-0325,Sports,36000.0,Phuket 
TXN-00080,2024-09-22,C-0589,Sports,10451.0,Chiang Mai
TXN-00081,05-Jan-24,C-0130,Fashion,39047.0,Phuket
TXN-00082,2024-06-24,C-0452,Home & Living,13232.0,Krungthep
TXN-00083,2024-08-04,C-0267,Sports,20959.0,BKK
TXN-00084,2024/09/01,C-0379,Beauty,28362.0,Chiangmai
TXN-00085,2024/07/15,C-0189,Fashion,2035.0,Chonburi
TXN-00086,2024-02-22,C-0211,Sports,30574.0,Phuket
TXN-00087,2024-07-07,C-0576,Home & Living,17819.0,Phuket
TXN-00088,2024-03-11,C-0725,Fashion,38261.0,Khon Kaen
TXN-00089,2024-03-09,C-0036,Beauty,19586.0,Chiang Mai
TXN-00090,2024-12-12,C-0682,Electronics,15065.0,Chon Buri
TXN-00091,2024-09-28,C-0325,Fashion,37265.0,Krungthep
TXN-00092,2024-11-08,C-0353,Beauty,19139.0,Chonburi
TXN-00093,2024-08-13,C-0152,Sports,35444.0,Krungthep
TXN-00094,2024-04-19,C-0382,Sports,25561.0,Khon Kaen
TXN-00095,2024-03-18,C-0460,Beauty,,Bangkok
TXN-00096,2024-11-11,C-0553,Sports,26297.0,Bangkok
TXN-00097,2024/04/21,C-0999,Beauty,36320.0,Chonburi
TXN-00098,2024-02-21,C-0167,Beauty,30139.0,Bangkok
TXN-00099,2024-03-04,C-0547,Beauty,2131.0,Phuket
TXN-00100,2024-07-15,C-0309,Fashion,15711.0,Khon Kaen
TXN-00101,2024-08-07,C-0125,Beauty,31747.0,Krungthep
TXN-00102,2024-03-12,C-0943,Fashion,42627.0,Chon Buri
TXN-00103,2024/11/26,C-0026,Sports,9922.0,Khon Kaen
TXN-00104,2024-10-10,C-0415,Electronics,5981.0,Krungthep
TXN-00105,2024-11-07,C-0954,Beauty,11592.0,Phuket
TXN-00106,19-Dec-24,C-0512,Fashion,32600.0,Krungthep
TXN-00107,2024-12-03,C-0787,Home & Living,5997.0,Phuket 
TXN-00108,2024-04-15,C-0149,Electronics,40902.0,Chon Buri
TXN-00109,2024-09-17,C-0971,Beauty,34801.0,Chonburi
TXN-00110,2024-07-19,C-0470,Home & Living,37635.0,Khon Kaen
TXN-00111,2024-01-28,C-0951,Electronics,4362.0,Bangkok
TXN-00112,2024-05-02,C-0328,Electronics,17016.0,Chiang Mai
TXN-00113,2024-02-27,C-0160,Home & Living,49030.0,Phuket
TXN-00114,2024-11-22,C-0005,Beauty,10370.0,Bangkok
TXN-00115,2024-09-27,C-0994,Fashion,45654.0,Chonburi
TXN-00116,2024-01-07,C-0757,Sports,27142.0,Chiangmai
TXN-00117,2024-06-11,C-0560,Home & Living,18073.0,Chiang Mai
TXN-00118,2024-10-18,C-1000,Fashion,49982.0,Khon Kaen
TXN-00119,2024-10-06,C-0520,Beauty,32529.0,Chiangmai
TXN-00120,2024-08-29,C-0340,,21013.0,Phuket
TXN-00121,07-Feb-24,C-0663,Electronics,15949.0,Chiangmai
TXN-00122,04-Feb-24,C-0723,Beauty,46956.0,Chiang Mai
TXN-00123,20-Apr-24,C-0303,Home & Living,36859.0,Chiang Mai
TXN-00124,2024-01-31,C-0486,Home & Living,48542.0,Chiangmai
TXN-00125,2024-07-22,C-0918,Beauty,7384.0,BKK
TXN-00126,2024-11-17,C-0297,Sports,5579.0,Chon Buri
TXN-00127,2024-07-31,C-0993,Fashion,1392.0,BKK
TXN-00128,2024/07/24,C-0967,Beauty,49530.0,Chiangmai
TXN-00129,2024-10-01,C-0773,Beauty,13434.0,Chonburi
TXN-00130,2024-03-19,C-0588,Home & Living,7949.0,Chon Buri
TXN-00131,2024/06/07,C-0683,Sports,28299.0,Phuket 
TXN-00132,2024-04-14,C-0151,Beauty,41536.0,Phuket 
TXN-00133,2024-03-20,C-0819,Beauty,32428.0,BKK
TXN-00134,2024-07-19,C-0579,Electronics,36353.0,BKK
TXN-00135,2024-11-28,C-0747,Beauty,1106.0,Phuket 
TXN-00136,2024-02-03,C-0929,Electronics,29039.0,Phuket
TXN-00137,2024-08-11,C-0945,Electronics,47682.0,Chon Buri
TXN-00138,2024/05/02,C-0453,Home & Living,44847.0,Phuket 
TXN-00139,2024-02-14,C-0347,Electronics,21627.0,Chonburi
TXN-00140,2024-02-29,C-0706,Electronics,24855.0,Chon Buri
TXN-00141,2024/11/07,C-0116,Sports,11375.0,Khon Kaen
TXN-00142,2024-12-07,C-0750,Electronics,34791.0,Khon Kaen
TXN-00143,2024-03-30,C-0491,Sports,40739.0,Bangkok
TXN-00144,2024-12-28,C-0922,Beauty,24830.0,Krungthep
TXN-00145,2024-01-06,C-0042,Electronics,16965.0,Chiangmai
TXN-00146,2024-06-26,C-0143,Sports,14303.0,Chonburi
TXN-00147,2024-05-12,C-0695,Electronics,49439.0,BKK
TXN-00148,2024-03-05,C-0565,Fashion,9369.0,Phuket 
TXN-00149,2024-05-17,C-0120,Sports,47363.0,Chonburi
TXN-00150,2024-03-01,C-0316,Sports,1143.0,Chiangmai
TXN-00151,2024-01-16,C-0026,Beauty,12245.0,Krungthep
TXN-00152,2024-08-07,C-0412,Beauty,4894.0,Bangkok
TXN-00153,2024-02-02,C-0633,Electronics,867.0,Chon Buri
TXN-00154,2024-10-22,C-0862,Fashion,12799.0,Chonburi
TXN-00155,2024-09-11,C-0226,Sports,6650.0,Chonburi
TXN-00156,2024/07/03,C-0457,Home & Living,22194.0,Chiang Mai
TXN-00157,2024-10-17,C-0366,Electronics,41458.0,Phuket
TXN-00158,2024-03-21,C-0095,Home & Living,10753.0,Phuket 
TXN-00159,2024-02-22,C-0335,Home & Living,42203.0,Khon Kaen
TXN-00160,2024-12-11,C-0057,Fashion,15313.0,Khon Kaen
TXN-00161,2024-04-26,C-0623,Beauty,1425.0,Khon Kaen
TXN-00162,02-Jan-24,C-0657,Electronics,18494.0,Chiangmai
TXN-00163,2024-01-07,C-0200,Home & Living,28429.0,Phuket
TXN-00164,2024-08-29,C-0598,Electronics,20537.0,Chiang Mai
TXN-00165,2024-03-17,C-0540,Electronics,26928.0,Phuket 
TXN-00166,2024-01-19,C-0228,Beauty,37273.0,Phuket 
TXN-00167,2024-12-31,C-0801,Home & Living,43712.0,BKK
TXN-00168,2024-08-02,C-0959,Electronics,39339.0,Krungthep
TXN-00169,2024-05-07,C-0786,Fashion,48384.0,Krungthep
TXN-00170,2024-06-12,C-0285,Sports,12186.0,Krungthep
TXN-00171,2024-02-09,C-0201,Sports,7205.0,Chon Buri
TXN-00172,2024-03-02,C-0024,Beauty,34730.0,BKK
TXN-00173,2024-01-27,C-0086,Home & Living,25596.0,Chonburi
TXN-00174,2024-09-21,C-0552,Beauty,39308.0,Chiang Mai
TXN-00175,2024/07/24,C-0870,Electronics,48817.0,Khon Kaen
TXN-00176,2024-08-26,C-0457,Beauty,44310.0,Phuket
TXN-00177,2024-06-08,C-0694,Electronics,14217.0,Chon Buri
TXN-00178,2024-10-10,C-0688,Sports,15693.0,Chiangmai
TXN-00179,2024-07-07,C-0981,Fashion,6485.0,Chiang Mai
TXN-00180,2024-10-15,C-0090,Fashion,40799.0,BKK
TXN-00181,2024-11-14,C-1000,Beauty,11301.0,Bangkok
TXN-00182,2024-07-07,C-0525,Sports,516.0,Krungthep
TXN-00183,2024-09-09,C-0404,Fashion,3920.0,Krungthep
TXN-00184,2024-04-10,C-0200,Fashion,29315.0,Krungthep
TXN-00185,2024-10-06,C-0503,Sports,31412.0,Phuket
TXN-00186,2024-05-05,C-0326,Sports,33292.0,Krungthep
TXN-00187,28-Jul-24,C-0618,Electronics,16279.0,Chiangmai
TXN-00188,2024-10-04,C-0620,Sports,25227.0,Bangkok
TXN-00189,2024-12-21,C-0524,Fashion,46784.0,BKK
TXN-00190,20-Jun-24,C-0967,,20931.0,BKK
TXN-00191,2024-12-02,C-0058,Beauty,21273.0,Chiang Mai
TXN-00192,2024-06-06,C-0931,Home & Living,40174.0,Chonburi
TXN-00193,2024-09-28,C-0683,Beauty,11386.0,Khon Kaen
TXN-00194,2024-08-02,C-0370,Fashion,18701.0,Chiangmai
TXN-00195,2024-01-31,C-0408,Sports,29155.0,Chiangmai
TXN-00196,2024-03-13,C-0152,Fashion,32618.0,Krungthep
TXN-00197,17-Feb-24,C-0734,Sports,16919.0,Chon Buri
TXN-00198,2024-04-28,C-0875,Electronics,37062.0,Khon Kaen
TXN-00199,2024-09-23,C-0438,Electronics,43235.0,Krungthep
TXN-00200,2024-07-09,C-0379,Sports,2157.0,Krungthep
TXN-00201,2024-02-13,C-0396,Beauty,31044.0,Khon Kaen
TXN-00202,2024-09-15,C-0382,Sports,23174.0,Chonburi
TXN-00203,2024/07/20,C-0013,Home & Living,14510.0,Khon Kaen
TXN-00204,2024/10/17,C-0292,Home & Living,13016.0,Chon Buri
TXN-00205,2024-12-05,C-0354,Beauty,12231.0,Phuket
TXN-00206,2024-05-01,C-0360,Home & Living,1199.0,BKK
TXN-00207,2024-06-10,C-0316,Beauty,24157.0,Phuket
TXN-00208,2024-07-20,C-0457,Home & Living,867.0,Chon Buri
TXN-00209,2024-06-16,C-0896,,22025.0,BKK
TXN-00210,2024-05-19,C-0575,Electronics,24674.0,Chon Buri
TXN-00211,2024-04-13,C-0090,Electronics,33451.0,Krungthep
TXN-00212,2024-10-26,C-0221,Fashion,40265.0,Chiang Mai
TXN-00213,2024-02-24,C-0746,Beauty,42916.0,Chiang Mai
TXN-00214,2024-08-26,C-0910,Sports,31874.0,Chiang Mai
TXN-00215,2024-03-02,C-0455,Electronics,46080.0,Chiang Mai
TXN-00216,2024-04-16,C-0760,Beauty,18468.0,Bangkok
TXN-00217,2024-08-25,C-0426,Home & Living,37998.0,Phuket
TXN-00218,2024/03/02,C-0823,Beauty,47556.0,Phuket 
TXN-00219,2024-12-17,C-0454,Home & Living,40316.0,Krungthep
TXN-00220,2024-12-26,C-0296,Electronics,32632.0,Chiangmai
TXN-00221,2024-01-21,C-0168,Home & Living,49647.0,Chiang Mai
TXN-00222,2024-06-16,C-0826,Beauty,49690.0,Phuket
TXN-00223,2024-12-30,C-0746,,7308.0,Bangkok
TXN-00224,2024-07-01,C-0994,Home & Living,2389.0,Bangkok
TXN-00225,2024-01-26,C-0920,Home & Living,47247.0,Chiangmai
TXN-00226,2024-05-13,C-0435,Sports,48747.0,Phuket
TXN-00227,30-Mar-24,C-0747,Fashion,9127.0,Bangkok
TXN-00228,2024-07-26,C-0918,Beauty,8326.0,Phuket
TXN-00229,2024-10-11,C-0425,Electronics,42277.0,Chonburi
TXN-00230,2024/05/07,C-0143,Sports,21093.0,BKK
TXN-00231,2024-02-22,C-0856,Fashion,36157.0,BKK
TXN-00232,2024-03-12,C-0602,Beauty,13225.0,Chon Buri
TXN-00233,2024-02-01,C-0613,Home & Living,48829.0,Chiang Mai
TXN-00234,2024-04-23,C-0089,Beauty,,Bangkok
TXN-00235,2024-07-24,C-0148,Fashion,21240.0,Phuket
TXN-00236,2024-11-18,C-0213,Sports,11589.0,Chonburi
TXN-00237,2024-02-13,C-0311,Sports,38959.0,BKK
TXN-00238,2024-05-12,C-0487,Electronics,24502.0,Chiang Mai
TXN-00239,08-Feb-24,C-0889,Electronics,44048.0,Bangkok
TXN-00240,2024-02-03,C-0538,Sports,44259.0,Chon Buri
TXN-00241,2024-11-26,C-0344,Sports,4756.0,Chiang Mai
TXN-00242,2024/03/06,C-0068,Home & Living,33367.0,Bangkok
TXN-00243,2024-06-18,C-0956,Electronics,17974.0,Chon Buri
TXN-00244,2024/08/24,C-0984,Sports,29558.0,Bangkok
TXN-00245,2024-10-20,C-0605,Sports,40380.0,Khon Kaen
TXN-00246,2024-07-21,C-0775,Electronics,33626.0,Phuket
TXN-00247,2024-07-14,C-0385,Electronics,42135.0,Krungthep
TXN-00248,2024-03-29,C-0091,Home & Living,711.0,Chiangmai
TXN-00249,2024-04-05,C-0007,Beauty,37236.0,Chiang Mai
TXN-00250,2024-08-16,C-0420,Sports,22877.0,Chonburi
TXN-00251,2024-01-18,C-0655,Home & Living,46132.0,Chon Buri
TXN-00252,2024-11-11,C-0937,Electronics,30843.0,Chonburi
TXN-00253,2024-05-31,C-0280,Fashion,6435.0,Chon Buri
TXN-00254,2024-10-08,C-0425,Beauty,6163.0,Phuket 
TXN-00255,2024-02-14,C-0180,Home & Living,39241.0,Chiang Mai
TXN-00256,2024-03-11,C-0570,,1817.0,Chon Buri
TXN-00257,2024-11-25,C-0474,Electronics,1184.0,Chonburi
TXN-00258,2024-09-26,C-0728,Electronics,25045.0,Phuket
TXN-00259,2024-10-05,C-0582,Fashion,47966.0,Chiang Mai
TXN-00260,2024-07-14,C-0774,Beauty,20670.0,Chiangmai
TXN-00261,2024-07-02,C-0937,Fashion,42594.0,Chon Buri
TXN-00262,2024-09-05,C-0141,Home & Living,13023.0,Chonburi
TXN-00263,2024-10-16,C-0205,Electronics,48872.0,Phuket
TXN-00264,2024-07-17,C-0191,Beauty,3995.0,Phuket 
TXN-00265,2024-01-14,C-0853,Sports,19313.0,Chiang Mai
TXN-00266,22-Apr-24,C-0391,Home & Living,9702.0,Chiangmai
TXN-00267,2024/05/23,C-0297,Fashion,27630.0,Chon Buri
TXN-00268,2024-08-29,C-0568,Fashion,12836.0,Khon Kaen
TXN-00269,2024-10-26,C-0503,Electronics,13556.0,Chonburi
TXN-00270,2024-03-22,C-0044,Sports,19828.0,Bangkok
TXN-00271,2024-12-02,C-0843,Electronics,29309.0,Krungthep
TXN-00272,2024-09-30,C-0847,Sports,32605.0,BKK
TXN-00273,2024-01-29,C-0310,Electronics,24329.0,Phuket
TXN-00274,2024-04-22,C-0855,Sports,42562.0,Chiangmai
TXN-00275,2024-07-17,C-0600,Electronics,41854.0,Chiangmai
TXN-00276,2024-03-29,C-0312,Beauty,11672.0,BKK
TXN-00277,2024-10-30,C-0506,Electronics,38853.0,Phuket 
TXN-00278,2024-12-23,C-0573,Electronics,35755.0,Chonburi
TXN-00279,29-Oct-24,C-0758,Beauty,46518.0,Chonburi
TXN-00280,2024-12-24,C-0475,Sports,42836.0,Krungthep
TXN-00281,2024-10-17,C-0230,Electronics,19419.0,Krungthep
TXN-00282,2024-10-15,C-0028,Electronics,46352.0,Khon Kaen
TXN-00283,2024-09-09,C-0811,Home & Living,36650.0,Chonburi
TXN-00284,2024-03-30,C-0003,Beauty,18125.0,BKK
TXN-00285,2024/02/16,C-0158,Beauty,14309.0,Khon Kaen
TXN-00286,2024-11-04,C-0269,Sports,31150.0,Khon Kaen
TXN-00287,2024-09-26,C-0308,Sports,8056.0,Chiangmai
TXN-00288,2024-06-18,C-0979,,41860.0,Phuket
TXN-00289,2024-04-13,C-0656,Beauty,9662.0,Phuket
TXN-00290,2024-06-23,C-0855,Sports,21667.0,Bangkok
TXN-00291,2024/06/14,C-0652,Electronics,25266.0,Chiang Mai
TXN-00292,2024-03-16,C-0484,Home & Living,2718.0,Bangkok
TXN-00293,2024-03-13,C-0128,Electronics,7355.0,Chon Buri
TXN-00294,2024-09-26,C-0670,Sports,1017.0,Chiang Mai
TXN-00295,2024-02-07,C-0682,Sports,31662.0,Phuket
TXN-00296,2024-12-05,C-0915,Fashion,42959.0,Chiang Mai
TXN-00297,2024-02-21,C-0295,Fashion,12762.0,Chiangmai
TXN-00298,2024-06-14,C-0428,Home & Living,20572.0,Phuket
TXN-00299,2024-03-21,C-0184,Beauty,36333.0,Phuket
TXN-00300,2024-08-11,C-0504,Beauty,1925.0,Chiang Mai
TXN-00301,2024-09-06,C-0929,Fashion,40910.0,Chonburi
TXN-00302,2024-03-30,C-0705,Electronics,38246.0,BKK
TXN-00303,2024-10-14,C-0661,Sports,48403.0,BKK
TXN-00304,2024-11-10,C-0251,Home & Living,16463.0,Chon Buri
TXN-00305,2024-04-24,C-0030,Sports,24959.0,Khon Kaen
TXN-00306,2024-03-30,C-0123,Fashion,32124.0,Chiangmai
TXN-00307,2024-12-18,C-0784,Sports,20172.0,Krungthep
TXN-00308,2024-03-31,C-0284,Home & Living,15855.0,Krungthep
TXN-00309,2024-12-25,C-0505,Sports,33724.0,Chiang Mai
TXN-00310,2024-07-19,C-0994,Fashion,28411.0,Phuket 
TXN-00311,17-Oct-24,C-0069,Sports,38346.0,Chon Buri
TXN-00312,2024-11-04,C-0614,Sports,2371.0,Chonburi
TXN-00313,2024-11-09,C-0764,Beauty,11404.0,Khon Kaen
TXN-00314,2024-10-16,C-0371,Fashion,39615.0,Chiangmai
TXN-00315,2024-09-11,C-0596,Fashion,34846.0,Bangkok
TXN-00316,2024-02-09,C-0493,Home & Living,37723.0,BKK
TXN-00317,2024-06-12,C-0580,Beauty,9012.0,Phuket
TXN-00318,2024-02-15,C-0447,Beauty,4025.0,Krungthep
TXN-00319,2024-12-09,C-0890,Home & Living,20768.0,Khon Kaen
TXN-00320,2024-06-20,C-0265,Sports,9770.0,BKK
TXN-00321,2024-05-15,C-0644,Sports,30562.0,Chiang Mai
TXN-00322,2024/12/20,C-0703,Home & Living,30685.0,Bangkok
TXN-00323,2024-05-11,C-0488,Beauty,,Bangkok
TXN-00324,01-Jan-24,C-0998,Electronics,11776.0,Chonburi
TXN-00325,2024-08-12,C-0711,Electronics,5767.0,Krungthep
TXN-00326,2024-03-26,C-0838,Fashion,13824.0,Phuket
TXN-00327,2024-09-09,C-0123,Fashion,47956.0,Chiangmai
TXN-00328,2024-06-28,C-0383,Home & Living,45373.0,Chiangmai
TXN-00329,2024-02-21,C-0525,Beauty,25027.0,Krungthep
TXN-00330,2024-10-22,C-0751,Fashion,,BKK
TXN-00331,2024-12-17,C-0590,Electronics,7047.0,Chiangmai
TXN-00332,2024/08/19,C-0018,Electronics,45509.0,Phuket
TXN-00333,2024-01-18,C-0866,Sports,14425.0,BKK
TXN-00334,2024-06-12,C-0266,Home & Living,44306.0,Krungthep
TXN-00335,2024/02/23,C-0167,Sports,30874.0,BKK
TXN-00336,2024-03-28,C-0596,Home & Living,6779.0,Chon Buri
TXN-00337,2024-03-23,C-0060,Electronics,21363.0,Phuket
TXN-00338,2024-10-07,C-0150,Home & Living,9250.0,Bangkok
TXN-00339,2024-02-17,C-0328,Home & Living,21937.0,Phuket
TXN-00340,2024-11-10,C-0473,Home & Living,44720.0,Chonburi
TXN-00341,26-Dec-24,C-0900,Fashion,28326.0,Krungthep
TXN-00342,2024-11-30,C-0710,Electronics,35503.0,Chiang Mai
TXN-00343,2024-08-10,C-0139,Home & Living,32501.0,Chiangmai
TXN-00344,2024-02-21,C-0366,Electronics,38932.0,BKK
TXN-00345,2024-04-07,C-0168,Fashion,40380.0,Phuket
TXN-00346,2024-10-10,C-0055,Electronics,15911.0,Bangkok
TXN-00347,2024-10-03,C-0280,Fashion,22772.0,Phuket
TXN-00348,2024-05-24,C-0370,Fashion,604.0,Khon Kaen
TXN-00349,19-Feb-24,C-0430,Home & Living,49762.0,Phuket 
TXN-00350,2024-10-19,C-0652,Sports,5563.0,Chon Buri
TXN-00351,2024-09-08,C-0934,Sports,9549.0,Chiangmai
TXN-00352,03-Jul-24,C-0979,Electronics,3399.0,Chonburi
TXN-00353,2024-02-14,C-0365,Fashion,29034.0,Khon Kaen
TXN-00354,2024-12-04,C-0050,Fashion,25670.0,Phuket
TXN-00355,2024-09-02,C-0297,Home & Living,28399.0,Krungthep
TXN-00356,2024-01-14,C-0299,Beauty,20887.0,Bangkok
TXN-00357,2024-11-22,C-0543,Fashion,32000.0,Bangkok
TXN-00358,2024-02-11,C-0655,Sports,28138.0,BKK
TXN-00359,2024-02-29,C-0959,Sports,26597.0,BKK
TXN-00360,2024-07-22,C-0079,Fashion,7475.0,Chon Buri
TXN-00361,2024-12-04,C-0527,Electronics,5915.0,BKK
TXN-00362,2024-11-24,C-0199,Home & Living,48516.0,BKK
TXN-00363,2024-04-04,C-0785,Sports,27007.0,Bangkok
TXN-00364,2024-07-14,C-0644,Beauty,1301.0,Chiang Mai
TXN-00365,16-Aug-24,C-0188,Electronics,8937.0,Chiangmai
TXN-00366,2024-08-13,C-0784,Sports,25665.0,Phuket 
TXN-00367,2024-04-25,C-0097,Sports,1259.0,Khon Kaen
TXN-00368,2024/10/15,C-0614,Sports,44421.0,Khon Kaen
TXN-00369,2024-12-22,C-0771,Sports,4072.0,Phuket
TXN-00370,2024-02-13,C-0172,Home & Living,17450.0,BKK
TXN-00371,2024-10-04,C-0557,Sports,8099.0,Phuket 
TXN-00372,2024-10-28,C-0331,Beauty,30008.0,Chonburi
TXN-00373,2024-02-01,C-0894,Sports,31534.0,Phuket 
TXN-00374,2024-09-24,C-0324,Sports,35563.0,Krungthep
TXN-00375,2024-10-01,C-0847,Fashion,7818.0,Phuket 
TXN-00376,2024-08-31,C-0866,Fashion,28291.0,Chon Buri
TXN-00377,2024-04-30,C-0702,Fashion,25631.0,Chon Buri
TXN-00378,2024-02-10,C-0820,Home & Living,5743.0,Chon Buri
TXN-00379,31-Dec-24,C-0309,Beauty,22593.0,Khon Kaen
TXN-00380,2024-10-19,C-0278,Home & Living,46870.0,Krungthep
TXN-00381,2024-10-19,C-0702,Electronics,13450.0,Bangkok
TXN-00382,2024-11-13,C-0715,Electronics,40773.0,Chiangmai
TXN-00383,2024-08-17,C-0705,Sports,30318.0,Chon Buri
TXN-00384,2024-03-26,C-0372,Sports,30958.0,Phuket 
TXN-00385,2024-04-08,C-0099,Sports,8465.0,Chonburi
TXN-00386,2024/08/04,C-0548,Beauty,30662.0,Phuket 
TXN-00387,2024-12-15,C-0594,Beauty,39777.0,Chiangmai
TXN-00388,2024-11-17,C-0361,Beauty,17036.0,Bangkok
TXN-00389,2024-10-31,C-0844,Beauty,44736.0,Chonburi
TXN-00390,2024/02/04,C-0148,Beauty,2042.0,BKK
TXN-00391,2024-10-11,C-0014,Electronics,12213.0,Bangkok
TXN-00392,2024-06-15,C-0141,Electronics,27832.0,Krungthep
TXN-00393,2024-09-23,C-0531,Sports,,Chon Buri
TXN-00394,2024-01-07,C-0289,Electronics,42179.0,Chiang Mai
TXN-00395,2024-11-15,C-0382,Fashion,7819.0,Chiangmai
TXN-00396,2024-08-02,C-0798,Electronics,2899.0,Krungthep
